,Sentiment,SentimentText
33872,1,<MENTION> lol ok thanks. anyway watcha doing?
22259,1,"<MENTION> -- yeah, thank ya kindly!"
72135,0,"<MENTION>, is being a horrible friend. tears."
2448,0,Jonas Brothers 3D Concert Movie is out on the 7th of May and i can't go because of school interviews. BUT i'LL see it sat!!(Hopefully)
85082,1,<MENTION> k just call asap
73597,1,<MENTION> hello mr. ryan ross
7036,0,"<HASHTAG> <HASHTAG> Just watched highlights of the Super 14 final, I am worried, very worried. The Bulls looked like men, the Lions like boys"
60290,1,<MENTION> I love getting calls from extended family with 10 year old computers infested with malware and they expect me to fix it.
96972,1,<MENTION> Please stop threatening people with pink-eye or we might have the NIH and CDC investigating Twitter-borne diseases.
14440,1,...but don't expect me to kiss a frog.
75757,1,<MENTION> il give you a lap dance tomorrow!
5529,0,monday!! loking forward to it
99790,0,<MENTION> I probably suck at that game now too
83827,1,<MENTION> Hahaha alrighty then!
92604,0,<MENTION> nine of course you've got 2 weeks more and you're free from everything rite? i've got 3 weeks more huhu
35584,0,<MENTION> i so would but theres no more room in the car
62161,1,<MENTION> OMG!!.. You Like Totally Slept In My House!!! ARGHHHHH!!!!.. =P LOVES Ya...
78542,0,<MENTION> I am sure the Produb guys are on the case
47844,0,<MENTION> congrats girl!! Our mission to trick you failed but I happy for u too
66634,1,<MENTION> you can !!
36146,0,<MENTION> is it gonna be released in israel aswell?
74353,1,<MENTION> I logged in to see this clip of Susan........what a gift just to hear her sing. Thank you for your post.
12274,1,& they won! congratulations<MENTION> <33
11510,0,"'you can turn off the sun, but I'm still gonna shine' schoooool tomorrow! I need summer."
96356,1,<MENTION> and what's wrong with having another couple of days just in case
64809,0,<MENTION> I have two 21' LCDs at my desk
59378,1,<MENTION> geez good to be you best
72975,0,<MENTION> I knooow I'll b there dis weekend tho guurl!
2167,0,"guys... the mouse isn't a hallucination. He's a real, fuzzy, whiskery thing. How do i get rid of it without killing it?"
36814,1,<MENTION> that sounds great
42333,0,<MENTION> you called me today but because i live in w.a i was still in school please can you call me again? xxx
20204,0,"@ sleepyqueen: can sms me, jus tat i reply slow onli ya loh, sun father's day i also hafen buy or do anything..."
45435,0,<MENTION> I didnt I turned it on just as it finished I was gutted lol
58512,1,<MENTION><MENTION> Hello new twitters
29833,1,"<MENTION> We have Pelican cases for sale, if you're interested!"
76313,1,"<MENTION> Thanks for logo design tutorial, that is fabulous!"
85562,1,<MENTION> Okay then. I would much prefere if you just leave me alone. Just like how it was when you were still at tupper.
93308,1,<MENTION> starting my job tomorrow!! Keep me in ur prayers! Decided not to be afraid to succeed anymore!! imma go & show em!
15676,0,*spluttering and flailing* whhhhhhhhhhhhhy?!! you're so good at it..
50450,1,<MENTION> you should come to Austin
32083,1,<MENTION> awwww jim jam we're good at dodging meatballs WOO
26223,0,<MENTION> I'm running out of questions over here! He won't answer one of the biggest ones that I have for him
85028,0,<MENTION> So sad about Farrah Fawcett My condolences to Ryan and her family. What a fight she put up!! God Bless Farrah
66648,0,<MENTION> that really blows can you still draw?
76150,0,"<MENTION><MENTION> ,, ill prob. be the 1st one sleep lol siiiiiiike!!!"
85450,1,<MENTION> lol kk goodnighhhtttt!! love u too!!
11653,1,<HASHTAG> Predict the future of blogging in a tweet! Dare to accept the challenge? @ me so that I dont miss it out
73070,1,<MENTION> hope you have a good<HASHTAG> and ...........Hi
7234,1,<HASHTAG> everyone visit www.short-stack.org!
73210,1,<MENTION> awwww.....DEW is da best!! He still you fav Malina??
42546,0,"<MENTION> unfortunately, that looks like our only options"
80492,1,<MENTION> I MISS YOU MORE. YOU COMPLETE ME
35123,0,"<MENTION> it was demi-l.org ... i adopted it, but didn't do anything with it lol i gave it up right away haha. i had no time at all"
55221,1,<MENTION> hehehhehehe Messi knows that the Champions League trophy will GUARANTEE his leading spot on the BALLON d'OR list
23861,1,"<MENTION> yep, I agree! They are usually a Sunday affair, but I'm making an exception for tomorrow"
41407,0,<MENTION> for what?? school?? ... August 15
38442,1,<MENTION> at least i'll no someone if i go then ..
52634,1,"<MENTION> shit. I read it wrong, I thought he was joking by only letting it be put out at a very specific time"
79321,0,<MENTION> pics didn't show up
24852,1,"<MENTION> There, on my family's place, thinking about the Summit, I can't wait to stay and colaborate on the new album!"
27320,0,"<MENTION> I was hoping to see it in its IMAX brilliance-but it's gone! (there yesterday Haven't seen Terminator, maybe go there"
51106,1,"<MENTION> not talkin to me :'( haha, im only joking mmm eggy bread, want some baba ;o i love you xxx"
44015,1,<MENTION> and you should too its time to pump up those old mussels
34611,0,"<MENTION> no problem and yeah he always looks good haha.<MENTION> no I'm sorry, that's the only one I have"
5987,0,"Polly has gone back home now won't see her till Friday now sniffel, sniffel, whimper, whimper <URL>"
50330,0,"<MENTION> you tell me not to take my bad moods on you, but you just did then? oh well, it doesn't matter"
86891,1,<MENTION> My Uncle John from Jamaica!
38472,1,<MENTION> look at you spotting the (ex) big wigs!
48667,1,"<MENTION> have no fear, trisha is here. lol kidding"
26545,0,<MENTION> haha thanx!!! glad u hadfun i miss the jumpy tho
93813,1,<MENTION> well done for spotting it!
85948,1,"<MENTION> My blogging engine is a scientifically designed combination of ColdFusion, ducttape, rubber bands, and luck"
35223,1,<MENTION> I miss you. can't wait for tonight haha
56117,0,<MENTION> broxei com ele
18502,0,@ work at the moment
27686,0,<MENTION> I feel the same on the relationship front. I feel u will grow to be an old spinster woman LOL x
56937,1,<MENTION> Thank you!<HASHTAG>
4489,1,Pretty sure nothing can foul my mood now.
27597,1,<MENTION> thank you
23829,1,<MENTION> Thank you
17091,0,@ the mtv movie awards but i don't pay for a publisist so im not on the carpet
56894,0,<MENTION> good luck with your op - seems like forever to wait tho ... 12 month lease ...
38452,0,"<MENTION> oh it is to, Earth song is beautiful I think Gone too soon is SO beautiful makes me think of the ones that went to soon"
47899,0,<MENTION> I guess we're both in the same situation.. I've just caught tons of 'Sermon' from my always-right sister. :|
86414,1,"<MENTION> hahaha.. yeaps! after a my normal workout routine somemore.. hoho... it's a good day tmr, bodyPump.. wednesday Latin.. haha"
81705,0,"<MENTION> i think it only exists in the north west, which is sad"
32905,0,<MENTION> we should but nah i cant go to jesses show. gotta go to sacramento. so bummed.
25726,1,"<MENTION> i feel like a nerd saying it, but the new star trek looks kinda cool, i might see it haha. Let me know how it goes!"
12685,1,*satisfied*
88444,1,<MENTION> Where do you go to college?
50106,1,"<MENTION> haha ok, i was like ÃÂ¿? , but the i get it"
34224,0,<MENTION> does your followers list show<MENTION> following you? UR not showing up in my list
26721,1,<MENTION> wee in the bath come on we all let a little out
54799,0,<MENTION> werd boo? u cheatin on me again?
96299,0,<MENTION> thats another one but from the parents perpective. I almost did it to mine. I still beat myself for it. How could I?!?!
22525,1,<MENTION><MENTION> I'm still here.
37927,1,<MENTION> : How bout the song 'Neethaane'
54695,0,<MENTION> agree with you about facehunter embarrassing representation. compare to swedes who all look like they were born stylish.
30044,1,<MENTION> Thanks for the FF mention.
68869,1,"<MENTION> Thanks for the kind words. But, they're unfinished (3 more feet to the corner, and they're cluttered as well."
89313,1,"<MENTION> Excellent, I love it"
92045,0,<MENTION> Next time...
85272,1,<MENTION> so my friend locked himself in a rm & had a make-shft kareokee sesh to an audiosalve cd last nite---it was hysterical lol
99722,1,<MENTION> got to go for now seeya soon
53149,1,"<MENTION> wow, thank you for the recommendation in your blog. i feel like a celebrity"
71321,1,<MENTION> YaY Andy! Great win today! Second week here we come!
23811,1,<MENTION> which do you prefer?<HASHTAG> or<HASHTAG> ?
60270,0,<MENTION> SAD DAY! there's always next year. We still need to photo safari. A-SAP!
30061,1,<MENTION> we're great! I start grad school in July... moving the Beantown...
67328,0,<MENTION> YAAY BA IS BACK! I didn't know you were gone!
72625,0,<MENTION> That was a tough time in my life and I have no need/want to remember it
36302,0,<MENTION> Meeee toooooo!!
55206,1,<MENTION> yeah THE FASHION DISTRICT. LOL but tell me why I need go searching for those leggings tho!
84280,0,"<MENTION> unfortunately haven't been tweeting today due 2 meetings...but<MENTION>, hasn't talked 2 me lately. I don't think she luvs me"
65195,1,<MENTION> Hiya Babe . Hope Ya Have A Lovely Day Im Off Out On My Drivin Lesson Now Talk Later Love Youuuu xxx
638,0,ughhh..
16807,0,";; looking for my beautiful mommy on twitter, still can't find her...."
46045,1,<MENTION> best thing ive ever gotten off my mum haha oh thank you
30317,0,"<MENTION> and you were still busy setting up, so didn't say hi, then didn't get back"
74834,1,<MENTION> Hey im from venezuela! how are you?
16912,1,? boys over flowers! ? Lee Min Ho! ? Kim Bum! already at episode 10. Ã¯Â¿Â½
70500,0,"<MENTION> Don't know about that, i'm not a club person...And i'm pretty fried, beach got to me."
25180,0,"<MENTION><MENTION> fuck you guys are lucky, i can never get tickets to concerts, tryed for KoRn and AC/DC"
6204,0,"<HASHTAG> - I don't wanna see this happen in my country. If you're STILL not aware of what's happening, WTH is wrong with you."
81630,1,<MENTION> happy birthday!!!!!
22977,1,<MENTION> hiya norge!
13380,0,'It's amazing what you can hide...Just by putting on a smile...'
25314,1,<MENTION> if you tell us type<HASHTAG> or<HASHTAG> we will tweet it til our fingers bleed.. we can make it
